127.0.0.1 - - [13/Jun/2022:10:38:24 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [13/Jun/2022:10:38:25 +0900] "GET /memberWebPro/WEB-INF/view/member/memberForm.jsp HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [13/Jun/2022:10:39:06 +0900] "GET /memberWebPro/WEB-INF/view/member/memberList.jsp HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [13/Jun/2022:10:43:27 +0900] "GET /oimarket/join.do HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [13/Jun/2022:10:43:28 +0900] "GET /oimarket/join.do HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [13/Jun/2022:10:43:28 +0900] "GET /oimarket/join.do HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [13/Jun/2022:10:43:28 +0900] "GET /oimarket/join.do HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [13/Jun/2022:10:43:28 +0900] "GET /oimarket/join.do HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [13/Jun/2022:10:43:28 +0900] "GET /oimarket/join.do HTTP/1.1" 404 1094
